"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"2409","友達","115/04/30","14:00","線上法說會","115年第一季線上法人說明會","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.auo.com/zh-TW/investor_conference/index",同步收看網址：:https://www.auo.com/zh-TW/investor_conference/index 法說會影音連結資訊:未輸 ,"影音資訊於當日會後上傳","查詢"
"2427","三商電","115/04/01","14:30","https://www.zucast.com/webcast/BBckEQdM","報告2025年度營運成果及公司營運現況暨未來展望線上法人說明會","242720260401M001.pdf","242720260401E001.pdf","https://www.mds.com.tw/tc/investment_detail.php?PKey=22&amp;Page=0",同步收看網址：:https://www.zucast.com/webcast/BBckEQdM 法說會影音連結資訊:https://www.zucast.com/webcast/BBckEQdM ,"無。","查詢"
"2451","創見","115/04/08","15:00","創見資訊視聽教室(台北市內湖區行忠路70號)","說明本公司財務業務相關資訊","245120260408M002.pdf","245120260408E002.pdf","https://tw.transcend-info.com/about/conference",法說會影音連結資訊:https://youtu.be/58x4SDIcB9s ,"無","查詢"
"2511","太子","115/04/09","14:00","採線上與實體現場模式舉辦(台北市信義區松高路11號21樓)","受邀參加兆豐證券舉辦之法人說明會，說明本公司財務及營運展望。","251120260401M001.pdf","251120260401E001.pdf","https://www.prince.com.tw/stakeholders/institutional-presentations.html",法說會影音連結資訊:https://www.prince.com.tw/stakeholders/institutional-presentations.html ,"無","查詢"
"2630","亞航","115/04/02","14:00","高雄市前鎮區中山二路2號九樓之一(大眾財經大樓)","本公司受邀參加台新證券舉辦之法人說明會，說明財務業務概況。","263020260402M001.pdf","263020260402E001.pdf","https://www.airasia.com.tw/index.php?option=module&amp;lang=cht&amp;task=showlist&amp;id=385&amp;index=3",法說會影音連結資訊:https://www.youtube.com/@AACLAIRASIA/featured ,"無","查詢"
"2634","漢翔","115/04/20","14:30","線上法人說明會","漢翔公司受邀參加群益金鼎證券舉辦之線上法人說明會，將由公司經營團隊說明114年第四季與114全年經營實績與近期市場概況。報名網址： https://forms.gle/8aov4FFBeVjBem1T7","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","http://www.aidc.com.tw/tw/investor/conference",法說會影音連結資訊:未輸 ,"無","查詢"
"2881","富邦金","115/04/09","14:00","台北","討論富邦金控財務及業務相關資訊","288120260325M001.pdf","288120260325E001.pdf","https://fubon.irpro.co/tw/event.php","","受國票綜合證券邀約參加投資人說明會","查詢"
"2883","凱基金","115/04/02","14:30","臺北嘉佩樂酒店-台北市敦化北路139號，英文場採同步線上進行","屬自辦法人說明會，凱基金控114全年營運表現暨適用
IFRS 17接軌說明","288320260402M001.pdf","288320260402E001.pdf","https://kgi.irpro.co/tw/investor-conference.php",同步收看網址：:https://kgi.irpro.co/tw/investor-conference.php 法說會影音連結資訊:https://kgi.irpro.co/tw/investor-conference.php ,"無","查詢"
"2885","元大金","115/04/10","15:00","台北","公告本公司擬於民國115年4月10日(五)受邀參加國票證券舉行之投資人會議。","288520260408M002.pdf","288520260408E002.pdf","https://www.yuanta.com/TW/IR/Financials/Presentations-and-Events","","無","查詢"
"2886","兆豐金","115/04/10","14:00","線上","揭露本公司2025年第4季營運概況","288620260312M001.pdf","288620260312E001.pdf","https://www.megaholdings.com.tw/",法說會影音連結資訊:未輸 ,"本公司受邀參與統一證券舉辦之線上法人投資說明會","查詢"
"2887","台新新光金","115/04/09 至 115/04/10","13:00","日本","公告本公司受邀赴日本於115年4月9日至4月10日會晤當地投資機構，說明營運概況","288720260331M001.pdf","288720260331E001.pdf","https://www.tsholdings.com.tw/tsh/","","無","查詢"
"2897","王道銀行","115/04/01","14:30","線上法說會。","公布本公司2025年度營運概況。","289720260401M001.pdf","289720260401E001.pdf","https://www.o-bank.com/about/investor/IR-Events/Investor-Conferences",同步收看網址：:https://www.zucast.com/webcast/bbk35N3b 法說會影音連結資訊:https://www.zucast.com/webcast/bbk35N3b ,"線上法說會語音直播網址：https://www.zucast.com/webcast/bbk35N3b","查詢"
"3008","大立光","115/04/16","14:30","線上法說會","115年第一季營運報告及說明115年第二季營運展望","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","http://www.largan.com.tw/tw/investor/shareholder",法說會影音連結資訊:http://www.largan.com.tw/tw/investor/shareholder ,"無","查詢"
"3035","智原","115/04/28","14:30","線上法說會","115年第一季線上法人說明會","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.faraday-tech.com/tw/content/IR/InvestorConference",同步收看網址：:https://www.faraday-tech.com/tw/content/IR/InvestorConference 法說會影音連結資訊:未輸 ,"無","查詢"
"3138","耀登","115/04/08","14:00","台北市信義區信義路五段7號","本公司受邀參加永豐金證券與台灣證券交易所舉辦之業績發表會，說明本公司之營運、財務及業務概況。","313820260408M001.pdf","313820260408E001.pdf","https://www.auden.com.tw/investor-service/shareholder-column/","","無。","查詢"
"3231","緯創","115/04/07 至 115/04/09","09:00","新加坡","本公司受邀參加凱基證券舉辦之法人說明會，說明本公司業務簡介及現況說明","323120260312M002.pdf","323120260312E002.pdf","https://www.wistron.com/ch/Investors/ShareholdersServices/Meeting","","無","查詢"
"3416","融程電","115/04/13","14:30","台北市中山區樂群三路128號7樓","本公司受邀參加國票綜合證券法人說明會，說明本公司之營運概況、財務及業務相關資訊。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.winmate.com.tw/upload/Shareholder/20260413_Conference.pdf","","完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"4106","雃博","115/04/08","15:00","線上會議","114年全年營運結果與營運近況說明","410620260408M001.pdf","410620260408E001.pdf","https://tw.wellell.com/zh-tw/investor-area/b382f6306a5d49d18acdfff0d9882ab1?filter-year=108",法說會影音連結資訊:https://www.youtube.com/watch?v=XPj7SFJnn4A&feature=youtu.be ,"無","查詢"
"4441","振大環球","115/04/09","14:30","台北市大安區信義路四段236號7樓","本公司受邀參加宏遠證券舉辦之法人說明會","444120260317M001.pdf","444120260317E001.pdf","https://www.greatg.com.tw/investment.php","","無","查詢"
"4441","振大環球","115/04/14","14:30","台北市松山區東興路8號13樓(1302會議室)","本公司受邀參加統一證券舉辦之法人說明會","444120260317M001.pdf","444120260317E001.pdf","https://www.greatg.com.tw/investment.php","","無","查詢"
"4566","時碩工業","115/04/10","14:00","線上法人說明會","本公司受邀參加台新證券舉辦之線上法說會，說明本公司2025年度營運成果。","456620260409M001.pdf","456620260409E001.pdf","https://www.globaltekww.com",法說會影音連結資訊:未輸 ,"無。","查詢"
"4916","事欣科","115/04/15","14:30","線上法人說明會","本公司受邀參加統一證券國際法人部邀請舉辦線上法人說明會，說明本公司之產業及營運狀況","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","",法說會影音連結資訊:未輸 ,"無","查詢"
"5222","全訊","115/04/08","14:50","臺灣證券交易所(101大樓)1樓資訊展示中心(台北市信義區信義路五段7號)","本公司受邀永豐金證券舉辦之法人說明會，會中說明本公司簡介與營運現況。","522220260408M001.pdf","522220260408E001.pdf","https://www.transcominc.com.tw/Chinese/investorRelations2.php?arg=DMV4yhMvitEhTins4g",法說會影音連結資訊:https://webpro.twse.com.tw/WebPortal/vod/101/CFEE97D2110A-A4B5893C-331B-11F1-9705/?categoryId=193 ,"無。","查詢"
"5434","崇越","115/04/01","14:30","福邦證券總公司(台北市忠孝西路一段6號7樓)","受邀參加福邦證券舉辦之法人說明會，就本公司已公開之財務業務資訊作說明。","543420260401M001.pdf","543420260401E001.pdf","https://www.topco-global.com/investor-conference/",中文影音檔網址:5434_26_20260401_ch.MP4 ,"無","查詢"
"6176","瑞儀","115/04/24","14:15","台北寒舍艾美酒店三樓翡翠及珍珠廳（台北市信義區松仁路38號3樓）","115年第一季營運成果及公司未來展望","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.radiant.com.tw",法說會影音連結資訊:未輸 ,"無。","查詢"
"6271","同欣電","115/04/14","16:00","線上法說會","本公司受邀參加凱基證券舉辦之法說會，簡介2026年第一季營運成果及展望。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","","","無","查詢"
"6281","全國電","115/04/07","14:00","線上法說會","本公司受邀參加凱基證券主辦之線上法說會，說明本公司之營運概況、財務及業務相關資訊。","628120260402M001.pdf","628120260402E001.pdf","",中文影音檔網址:6281_17_20260407_ch.mp4 ,"無","查詢"
"6591","動力-KY","115/04/02","14:30","線上法說會","本公司受邀參加富邦證券舉辦之線上法說會，說明本公司之營運概況、財務及業務相關資訊。","659120260401M001.pdf","659120260401E001.pdf","https://www.sun-max.com.tw/investor_tw.php?id=20",法說會影音連結資訊:https://youtu.be/L8MKQq8q5L8 ,"無","查詢"
"6671","三能-KY","115/04/01","14:30","臺灣證券交易所資訊展示中心(台北市信義區信義路五段7號1樓)","本公司自辦法人說明會，說明本公司2025年營業成果及未來營運展望。","667120260331M001.pdf","667120260331E001.pdf","https://sannenggroup.com/investors-2/shareholders/",同步收看網址：:https://webpro.twse.com.tw/WebPortal/ 法說會影音連結資訊:https://webpro.twse.com.tw/WebPortal/vod/101/0BC2B5556544-EE29B40F-2D9A-11F1-9D52/?categoryId=101 ,"無","查詢"
"6770","力積電","115/04/07","15:10","臺灣證券交易所(101大樓)1樓資訊展示中心","本公司受邀參加臺灣證券交易所舉辦之115年「AI產業」主題式業績發表會及產業講座，就公司營運概況向投資機構做說明。","677020260324M001.pdf","677020260324E001.pdf","https://www.powerchip.com/","","無。","查詢"
"6805","富世達","115/04/14 至 115/04/15","15:00","新加坡","本公司受邀參加J.P MORGAN舉辦之NDR 說明營運現況及未來展望","680520260305M001.pdf","680520260305E001.pdf","有,網址:https://www.fositek.com/","","無","查詢"
"6863","永道-KY","115/04/10","14:00","台開大樓(台北市重慶南路一段2號22樓)","本公司受邀參加永豐金證券舉辦之法人說明會，說明2025年度第四季營運結果","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.arizonrfid.com/zh_TW/shareholder",法說會影音連結資訊:未輸 ,"無","查詢"
"6944","兆聯實業","115/04/16","14:00","證券交易所一樓資訊展示中心(台北市信義區信義路五段7號)","本公司受邀參加台灣證券交易所股份有限公司舉辦之法人說明會","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.megaunion-tw.com/tw/investor/announcement?meeting",法說會影音連結資訊:未輸 ,"無","查詢"
"7786","東方風能","115/04/14 至 115/04/16","09:00","新加坡Fullerton Hotel","本公司受邀參加寬量國際於新加坡主辦之「19th QIC CEO Week」，
說明本公司營運概況、財務及業務相關資訊。","內容檔案於會前非交易時間公告於公開資訊觀測站","內容檔案於會前非交易時間公告於公開資訊觀測站","https://www.dfo.com.tw","","無","查詢"
"8261","富鼎","115/04/15","14:00","Webex線上會議","本公司受邀參加玉山證券舉辦之法人說明會，本公司營運狀況報告。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.a-power.com.tw/tw/financial/investor",法說會影音連結資訊:未輸 ,"無","查詢"
"8464","億豐","115/04/15 至 115/04/16","09:00","Fullerton Hotel (Singapore)","本公司受邀參加寬量國際(QIC)舉辦的論壇。","846420260310M001.pdf","846420260310E001.pdf","http://www.nienmade.com.tw/ShareholderArea.aspx","","無","查詢"
"910861","神州-DR","115/04/01","16:00","線上法說會","召開線上業績發佈會。","91086120260401M001.pdf","91086120260401E001.pdf","http://www.dcholdings.com","","無","查詢"
